studentId,grade,classNo,groupId,role
1011test,1,1,G1,student
1012test,1,1,G1,merchant
1013test,1,1,G1,vip
1061test,1,6,G1,student
1062test,1,6,G1,merchant
1063test,1,6,G1,vip
2011test,2,,G1,student
2012test,2,,G1,merchant
2013test,2,,G1,vip
2061test,2,,G1,student
2062test,2,,G1,merchant
2063test,2,,G1,vip
3011test,3,,G1,student
3012test,3,,G1,merchant
3013test,3,,G1,vip
3061test,3,,G1,student
3062test,3,,G1,merchant
3063test,3,,G1,vip
3091test,3,,G1,student
3092test,3,,G1,merchant
3093test,3,,G1,vip
admin,,,,admin
101lion,1,1,G1,student
101rose,1,1,G1,merchant
101mars,1,1,G1,student
101hope,1,1,G1,student
101swan,1,1,G1,student
101lily,1,1,G1,student
101nova,1,1,G1,student
101kind,1,1,G1,student
101orca,1,1,G1,student
101leaf,1,1,G1,student
101star,1,1,G1,student
101wise,1,1,G1,student
101puma,1,1,G1,student
101sage,1,1,G1,student
101luna,1,1,G1,student
101wish,1,1,G1,student
101deer,1,1,G1,student
101pine,1,1,G1,student
101vega,1,1,G1,student
101pure,1,1,G1,student
101dove,1,1,G1,student
101mint,1,1,G1,student
101orbi,1,1,G1,student
101brav,1,1,G1,student
101seal,1,1,G1,student
101oliv,1,1,G1,student
101gala,1,1,G1,student
101hero,1,1,G1,student
101hawk,1,1,G1,student
101glow,1,1,G1,student
101halo,1,1,G1,student
